ind,rain_fall
"1148",1.016
"1149",5.08
"1150",1.016
"1151",20.066
"1152",9.906
"1153",23.368
"1154",2.032
"1155",32.766
"1156",2.032
"1157",1.016
"1158",1.016
"1159",1.016
"1160",9.144
"1161",10.16
"1162",6.096
"1163",6.096
"1164",1.016
"1165",1.016
"1166",8.636
"1167",4.064
"1168",4.064
"1169",1.016
"1170",3.048
"1171",3.048
"1172",1.016
"1173",8.128
"1174",1.016
"1175",1.016
"1176",2.032
"1177",5.08
"1178",29.464
"1179",1.016
"1180",1.016
"1181",5.08
"1182",12.192
"1183",6.096
"1184",8.128
"1185",6.096
"1186",1.016
"1187",1.016
"1188",39.624
"1189",51.816
"1190",4.064
"1191",2.032
"1192",2.032
"1193",19.304
"1194",19.304
"1195",16.256
"1196",29.464
"1197",26.416
"1198",11.176
"1199",37.592
"1200",8.128
"1201",14.224
"1202",34.544
"1203",4.064
"1204",1.016
"1205",23.368
"1206",28.448
"1207",6.096
"1208",9.144
"1209",6.096
"1210",3.048
"1211",1.016
"1212",1.016
"1213",2.032
"1214",18.288
"1215",11.176
"1216",12.192
"1217",1.016
"1218",1.016
"1219",1.016
"1220",5.08
"1221",3.048
"1222",7.112
"1223",2.032
"1224",3.048
"1225",1.016
"1226",7.112
"1227",1.016
"1228",5.08
"1229",5.08
"1230",1.016
"1231",1.016
"1232",1.016
"1233",16.256
"1234",4.064
"1235",5.08
"1236",8.89
"1237",8.382
"1238",1.016
"1239",14.224
"1240",15.24
"1241",21.336
"1242",7.112
"1243",1.016
"1244",1.016
"1245",17.272
"1246",21.082
"1247",29.464
"1248",1.016
"1249",1.016
"1250",10.16
"1251",13.208
"1252",5.08
"1253",10.16
"1254",3.048
"1255",22.352
"1256",2.032
"1257",1.016
"1258",1.016
"1259",1.016
"1260",1.016
"1261",1.016
"1262",2.032
"1263",8.128
"1264",1.016
"1265",1.016
"1266",2.032
"1267",0.508
"1268",4.064
"1269",6.858
"1270",9.652
"1271",15.494
"1272",56.896
"1273",3.048
"1274",3.556
"1275",5.08
"1276",16.256
"1277",5.08
